noise_sigma,from_beam_width,to_beam_width,new_correct_count,new_correct_rate,new_correct_after_never_in_topk_count,new_correct_after_pruned_too_early_count,new_correct_after_ranking_failure_count,sample_recovered_indices
0.0,1,3,131,0.0262,70,61,0,"[27, 76, 91, 104, 120, 132, 177, 180, 200, 243, 359, 371, 409, 426, 428, 487, 575, 629, 637, 743, 768, 788, 789, 811, 853]"
0.0,3,5,7,0.0014,1,6,0,"[685, 729, 1933, 2021, 3315, 3398, 3521]"
0.0,5,10,0,0.0,0,0,0,[]
0.0,10,20,0,0.0,0,0,0,[]
0.0,20,50,0,0.0,0,0,0,[]
0.0,50,110,0,0.0,0,0,0,[]
0.2,1,3,172,0.0344,82,90,0,"[27, 37, 73, 91, 104, 116, 120, 132, 149, 177, 180, 200, 219, 236, 243, 245, 291, 359, 371, 407, 426, 428, 542, 593, 629]"
0.2,3,5,9,0.0018,1,8,0,"[637, 729, 1153, 1815, 3187, 3312, 3315, 3521, 4572]"
0.2,5,10,3,0.0006,1,2,0,"[1933, 3398, 3977]"
0.2,10,20,0,0.0,0,0,0,[]
0.2,20,50,0,0.0,0,0,0,[]
0.2,50,110,0,0.0,0,0,0,[]
0.4,1,3,1133,0.2266,360,773,0,"[0, 1, 3, 5, 7, 10, 13, 14, 21, 22, 32, 33, 45, 61, 66, 76, 77, 79, 81, 101, 102, 109, 114, 122, 123]"
0.4,3,5,276,0.0552,22,254,0,"[6, 26, 59, 111, 125, 137, 140, 221, 255, 282, 286, 291, 305, 320, 336, 342, 350, 369, 413, 456, 476, 517, 533, 536, 542]"
0.4,5,10,212,0.0424,6,206,0,"[2, 12, 20, 31, 47, 80, 82, 117, 120, 132, 174, 243, 249, 277, 279, 293, 339, 343, 397, 409, 428, 460, 470, 482, 483]"
0.4,10,20,64,0.0128,0,64,0,"[55, 112, 133, 170, 184, 236, 247, 271, 365, 366, 406, 591, 618, 667, 678, 797, 1033, 1043, 1050, 1193, 1201, 1250, 1312, 1506, 1815]"
0.4,20,50,7,0.0014,0,7,0,"[640, 1729, 2934, 3025, 3208, 3444, 3704]"
0.4,50,110,0,0.0,0,0,0,[]
0.6,1,3,535,0.107,148,387,0,"[3, 4, 24, 49, 68, 89, 90, 96, 98, 99, 107, 120, 129, 139, 145, 153, 154, 166, 172, 198, 201, 202, 218, 247, 268]"
0.6,3,5,331,0.0662,19,312,0,"[6, 8, 21, 66, 88, 104, 110, 125, 127, 128, 130, 196, 216, 223, 252, 256, 257, 272, 287, 288, 299, 303, 338, 341, 351]"
0.6,5,10,423,0.0846,11,412,0,"[19, 52, 60, 63, 74, 78, 83, 86, 93, 109, 117, 149, 158, 183, 187, 192, 207, 217, 221, 224, 229, 240, 242, 244, 246]"
0.6,10,20,305,0.061,0,305,0,"[11, 30, 36, 43, 44, 51, 58, 112, 132, 136, 210, 213, 214, 250, 265, 290, 340, 369, 380, 381, 403, 410, 422, 426, 439]"
0.6,20,50,177,0.0354,0,177,0,"[38, 47, 91, 147, 174, 177, 184, 227, 333, 350, 357, 377, 389, 427, 434, 467, 490, 528, 550, 578, 616, 647, 655, 710, 731]"
0.6,50,110,16,0.0032,0,16,0,"[795, 799, 800, 1139, 1555, 2230, 2339, 2705, 2834, 3300, 3820, 4021, 4070, 4142, 4768, 4968]"
