noise_sigma,beam_width,decoder,equation_accuracy,symbol_accuracy,oracle_accuracy,oracle_accuracy_pct,candidates_evaluated_per_expression,correct_in_final_beam_pct,mean_correct_rank_in_final_beam,median_correct_rank_in_final_beam,ranked_examples,missing_prediction_rate
0.0,1,beam,0.9724,0.9724,0.9724,97.24,34.0,97.24,1.0,1.0,4862,0.0276
0.0,3,beam,0.9986,0.9986,0.9986,99.86,82.0,99.86,1.0,1.0,4993,0.0014
0.0,5,beam,1.0,1.0,1.0,100.0,130.0,100.0,1.0,1.0,5000,0.0
0.0,10,beam,1.0,1.0,1.0,100.0,250.0,100.0,1.0,1.0,5000,0.0
0.0,20,beam,1.0,1.0,1.0,100.0,470.0,100.0,1.0,1.0,5000,0.0
0.0,50,beam,1.0,1.0,1.0,100.0,830.0,100.0,1.0,1.0,5000,0.0
0.0,110,beam,1.0,1.0,1.0,100.0,1550.0,100.0,1.0,1.0,5000,0.0
0.0,infinity,exhaustive,1.0,1.0,1.0,100.0,110.0,100.0,1.0,1.0,5000,0.0
0.2,1,beam,0.9632,0.9632,0.9632,96.32,34.0,96.32,1.0,1.0,4816,0.0368
0.2,3,beam,0.9976,0.9976,0.9976,99.76,82.0,99.76,1.0,1.0,4988,0.0024
0.2,5,beam,0.9994,0.9994,0.9994,99.94,130.0,99.94,1.0,1.0,4997,0.0006
0.2,10,beam,1.0,1.0,1.0,100.0,250.0,100.0,1.0,1.0,5000,0.0
0.2,20,beam,1.0,1.0,1.0,100.0,470.0,100.0,1.0,1.0,5000,0.0
0.2,50,beam,1.0,1.0,1.0,100.0,830.0,100.0,1.0,1.0,5000,0.0
0.2,110,beam,1.0,1.0,1.0,100.0,1550.0,100.0,1.0,1.0,5000,0.0
0.2,infinity,exhaustive,1.0,1.0,1.0,100.0,110.0,100.0,1.0,1.0,5000,0.0
0.4,1,beam,0.5996,0.61064,0.5996,59.96,34.0,59.96,1.0,1.0,2998,0.385
0.4,3,beam,0.8262,0.84984,0.8382,83.82,82.0,83.82,1.014316,1.0,4191,0.1378
0.4,5,beam,0.8814,0.9094,0.9056,90.56,130.0,90.56,1.026723,1.0,4528,0.075
0.4,10,beam,0.9238,0.95864,0.9618,96.18,250.0,96.18,1.041797,1.0,4809,0.0202
0.4,20,beam,0.9366,0.97368,0.9866,98.66,470.0,98.66,1.056355,1.0,4933,0.0028
0.4,50,beam,0.938,0.97576,0.9972,99.72,830.0,99.72,1.074408,1.0,4986,0.0
0.4,110,beam,0.938,0.97576,0.9996,99.96,1550.0,99.96,1.082433,1.0,4998,0.0
0.4,infinity,exhaustive,0.938,0.97576,1.0,100.0,110.0,100.0,1.086,1.0,5000,0.0
0.6,1,beam,0.0624,0.08796,0.0624,6.24,34.0,6.24,1.0,1.0,312,0.8918
0.6,3,beam,0.1694,0.241,0.1738,17.38,82.0,17.38,1.025316,1.0,869,0.702
0.6,5,beam,0.2356,0.34084,0.248,24.8,130.0,24.8,1.05,1.0,1240,0.5716
0.6,10,beam,0.3202,0.489,0.3646,36.46,250.0,36.46,1.134394,1.0,1823,0.3606
0.6,20,beam,0.3812,0.6148,0.4884,48.84,470.0,48.84,1.291155,1.0,2442,0.1662
0.6,50,beam,0.4166,0.70092,0.665,66.5,830.0,66.5,1.697143,1.0,3325,0.0194
0.6,110,beam,0.4198,0.71068,0.8026,80.26,1550.0,80.26,2.344381,1.0,4013,0.0
0.6,infinity,exhaustive,0.4198,0.71068,1.0,100.0,110.0,100.0,5.1608,2.0,5000,0.0
