noise_sigma,beam_width,num_examples,survived_count,survived_rate,never_in_topk_count,never_in_topk_rate,pruned_too_early_count,pruned_too_early_rate,final_beam_loss_count,final_beam_loss_rate,first_loss_pos_0_count,first_loss_pos_0_rate,first_loss_pos_1_count,first_loss_pos_1_rate,first_loss_pos_2_count,first_loss_pos_2_rate,first_loss_pos_3_count,first_loss_pos_3_rate,first_loss_pos_4_count,first_loss_pos_4_rate,first_loss_pos_5_count,first_loss_pos_5_rate
0.0,1,5000,4862,0.9724,74,0.0148,64,0.0128,0,0.0,74,0.0148,0,0.0,29,0.0058,0,0.0,35,0.007,0,0.0
0.0,3,5000,4993,0.9986,1,0.0002,6,0.0012,0,0.0,1,0.0002,2,0.0004,2,0.0004,0,0.0,2,0.0004,0,0.0
0.0,5,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,10,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,20,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,50,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,110,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,infinity,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.2,1,5000,4816,0.9632,89,0.0178,95,0.019,0,0.0,89,0.0178,0,0.0,39,0.0078,0,0.0,56,0.0112,0,0.0
0.2,3,5000,4988,0.9976,2,0.0004,10,0.002,0,0.0,2,0.0004,3,0.0006,3,0.0006,0,0.0,4,0.0008,0,0.0
0.2,5,5000,4997,0.9994,1,0.0002,2,0.0004,0,0.0,1,0.0002,0,0.0,1,0.0002,0,0.0,1,0.0002,0,0.0
0.2,10,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.2,20,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.2,50,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.2,110,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.2,infinity,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.4,1,5000,2998,0.5996,730,0.146,1272,0.2544,0,0.0,730,0.146,298,0.0596,506,0.1012,0,0.0,468,0.0936,0,0.0
0.4,3,5000,4191,0.8382,85,0.017,724,0.1448,0,0.0,85,0.017,83,0.0166,237,0.0474,0,0.0,404,0.0808,0,0.0
0.4,5,5000,4528,0.9056,14,0.0028,458,0.0916,0,0.0,14,0.0028,35,0.007,159,0.0318,0,0.0,264,0.0528,0,0.0
0.4,10,5000,4809,0.9618,0,0.0,191,0.0382,0,0.0,0,0.0,5,0.001,62,0.0124,0,0.0,124,0.0248,0,0.0
0.4,20,5000,4933,0.9866,0,0.0,67,0.0134,0,0.0,0,0.0,0,0.0,15,0.003,0,0.0,52,0.0104,0,0.0
0.4,50,5000,4986,0.9972,0,0.0,14,0.0028,0,0.0,0,0.0,0,0.0,1,0.0002,0,0.0,13,0.0026,0,0.0
0.4,110,5000,4998,0.9996,0,0.0,2,0.0004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0004,0,0.0
0.4,infinity,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.6,1,5000,312,0.0624,2870,0.574,1818,0.3636,0,0.0,2870,0.574,728,0.1456,692,0.1384,0,0.0,398,0.0796,0,0.0
0.6,3,5000,869,0.1738,953,0.1906,3178,0.6356,0,0.0,953,0.1906,1165,0.233,1274,0.2548,0,0.0,739,0.1478,0,0.0
0.6,5,5000,1240,0.248,248,0.0496,3512,0.7024,0,0.0,248,0.0496,1001,0.2002,1537,0.3074,0,0.0,974,0.1948,0,0.0
0.6,10,5000,1823,0.3646,0,0.0,3177,0.6354,0,0.0,0,0.0,262,0.0524,1640,0.328,0,0.0,1275,0.255,0,0.0
0.6,20,5000,2442,0.4884,0,0.0,2558,0.5116,0,0.0,0,0.0,0,0.0,1156,0.2312,0,0.0,1402,0.2804,0,0.0
0.6,50,5000,3325,0.665,0,0.0,1675,0.335,0,0.0,0,0.0,0,0.0,351,0.0702,0,0.0,1324,0.2648,0,0.0
0.6,110,5000,4013,0.8026,0,0.0,987,0.1974,0,0.0,0,0.0,0,0.0,29,0.0058,0,0.0,958,0.1916,0,0.0
0.6,infinity,5000,5000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
